name,row_count,col_count,sprite_count,offset_x,offset_y
death_E,7,4,28,0.0024509804789,0.0247104242444
death_N,7,4,28,0.03708791360259,0.01668404601514
death_S,7,4,28,-0.03708791360259,0.02683982625604
death_W,7,4,28,-0.0024509804789,0.00800000037998
run_E,5,4,18,-0.01241134759039,0.03768115863204
run_N,5,4,18,0.03601694852114,0.02608695626259
run_S,5,4,18,-0.03601694852114,0.03188405930996
run_W,5,4,18,0.01063829753548,0.0169230774045
slow_run_E,3,4,12,0.02066115662456,0.03703703731298
slow_run_N,3,4,12,0.05296610295773,0.03892944008112
slow_run_S,3,4,12,-0.05296610295773,0.04132231324911
slow_run_W,3,4,12,-0.0227272734046,0.01975308731198
