name,row_count,col_count,sprite_count,offset_x,offset_y
death_E,7,4,28,0.00811688322574,0.03686635941267
death_N,7,4,28,0.04753521084785,0.03641456738114
death_S,7,4,28,-0.04720279574394,0.03296703472733
death_W,7,4,28,-0.00811688322574,0.03273809701204
floating_E,7,4,28,-0.00260416674428,0.02795031107962
floating_N,7,4,28,0.02644230797887,0.01322751305997
floating_S,7,4,28,-0.02912621386349,0.01287001278251
floating_W,7,4,28,0.00260416674428,0.00238095247187
run_E,4,4,15,-0.01904761977494,0.09946236759424
run_N,4,4,15,0.02250000089407,0.06683168560266
run_S,4,4,15,-0.02250000089407,0.08720929920673
run_W,4,4,15,0.0166666675359,0.05769230797887
slow_run_E,3,4,12,0.01436781603843,0.19658119976521
slow_run_N,3,4,12,0.02469135820866,0.10763888806105
slow_run_S,3,4,12,-0.02777777798474,0.17117117345333
slow_run_W,3,4,12,-0.01724137924612,0.10992907732725
stunned_E,14,4,56,0.00467289704829,0.02995391748846
stunned_N,14,4,56,0.02840909175575,0.01890756376088
stunned_S,14,4,56,-0.02840909175575,0.03095238097012
stunned_W,14,4,56,-0.00700934557244,0.02051671780646
